INFO [2022-04-01 10:31:14] Memory: Total: 32550220 kB, Available: 14063536 kB, Active: 5291652 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:31:23] Memory: Total: 32550220 kB, Available: 14053548 kB, Active: 5292064 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:31:23] Memory: Total: 32550220 kB, Available: 14059688 kB, Active: 5292076 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:31:32] Memory: Total: 32550220 kB, Available: 14065840 kB, Active: 5292096 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:31:33] Memory: Total: 32550220 kB, Available: 14052400 kB, Active: 5294264 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:31:36] Memory: Total: 32550220 kB, Available: 14066552 kB, Active: 5294276 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:31:37] Memory: Total: 32550220 kB, Available: 14078868 kB, Active: 5294284 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:31:45] Memory: Total: 32550220 kB, Available: 14079256 kB, Active: 5294328 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:31:46] Memory: Total: 32550220 kB, Available: 14078252 kB, Active: 5296544 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:31:50] Memory: Total: 32550220 kB, Available: 14065576 kB, Active: 5296556 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
