INFO [2022-04-01 11:55:40] Memory: Total: 32550220 kB, Available: 9197996 kB, Active: 5324476 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:55:46] Memory: Total: 32550220 kB, Available: 8939988 kB, Active: 5324568 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:55:47] Memory: Total: 32550220 kB, Available: 8930152 kB, Active: 5326616 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:55:50] Memory: Total: 32550220 kB, Available: 8923888 kB, Active: 5327084 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:55:50] Memory: Total: 32550220 kB, Available: 8915012 kB, Active: 5327088 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:55:58] Memory: Total: 32550220 kB, Available: 8951908 kB, Active: 5327124 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:55:59] Memory: Total: 32550220 kB, Available: 8938468 kB, Active: 5327124 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:05] Memory: Total: 32550220 kB, Available: 8966360 kB, Active: 5327156 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:05] Memory: Total: 32550220 kB, Available: 8966096 kB, Active: 5329492 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:09] Memory: Total: 32550220 kB, Available: 8975932 kB, Active: 5329684 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:09] Memory: Total: 32550220 kB, Available: 8964792 kB, Active: 5329692 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:10] Memory: Total: 32550220 kB, Available: 8960392 kB, Active: 5329692 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:10] Memory: Total: 32550220 kB, Available: 8963140 kB, Active: 5331824 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:14] Memory: Total: 32550220 kB, Available: 8946396 kB, Active: 5332104 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:14] Memory: Total: 32550220 kB, Available: 8965524 kB, Active: 5332124 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:17] Memory: Total: 32550220 kB, Available: 8974724 kB, Active: 5332124 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:18] Memory: Total: 32550220 kB, Available: 8949832 kB, Active: 5334460 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:23] Memory: Total: 32550220 kB, Available: 8964200 kB, Active: 5334676 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:24] Memory: Total: 32550220 kB, Available: 8966868 kB, Active: 5334692 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:29] Memory: Total: 32550220 kB, Available: 8961172 kB, Active: 5334688 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:30] Memory: Total: 32550220 kB, Available: 8958856 kB, Active: 5337124 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:35] Memory: Total: 32550220 kB, Available: 8969024 kB, Active: 5337192 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:35] Memory: Total: 32550220 kB, Available: 8957452 kB, Active: 5337192 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:39] Memory: Total: 32550220 kB, Available: 8954204 kB, Active: 5337212 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:40] Memory: Total: 32550220 kB, Available: 8945964 kB, Active: 5340424 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:48] Memory: Total: 32550220 kB, Available: 8912288 kB, Active: 5340528 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:49] Memory: Total: 32550220 kB, Available: 8909320 kB, Active: 5340532 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:53] Memory: Total: 32550220 kB, Available: 8904516 kB, Active: 5340552 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:56:54] Memory: Total: 32550220 kB, Available: 8890372 kB, Active: 5343840 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:02] Memory: Total: 32550220 kB, Available: 8925184 kB, Active: 5343988 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:02] Memory: Total: 32550220 kB, Available: 8923424 kB, Active: 5347212 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:10] Memory: Total: 32550220 kB, Available: 8798964 kB, Active: 5347332 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:11] Memory: Total: 32550220 kB, Available: 8791704 kB, Active: 5347340 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:15] Memory: Total: 32550220 kB, Available: 8796572 kB, Active: 5347364 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:15] Memory: Total: 32550220 kB, Available: 8794744 kB, Active: 5350480 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:23] Memory: Total: 32550220 kB, Available: 8773828 kB, Active: 5350676 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:24] Memory: Total: 32550220 kB, Available: 8766412 kB, Active: 5350676 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:28] Memory: Total: 32550220 kB, Available: 8778232 kB, Active: 5350692 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:29] Memory: Total: 32550220 kB, Available: 8769408 kB, Active: 5353896 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:38] Memory: Total: 32550220 kB, Available: 8779384 kB, Active: 5354040 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:39] Memory: Total: 32550220 kB, Available: 8770884 kB, Active: 5354048 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:47] Memory: Total: 32550220 kB, Available: 8712680 kB, Active: 5354096 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:47] Memory: Total: 32550220 kB, Available: 8709056 kB, Active: 5357392 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 11:57:52] Memory: Total: 32550220 kB, Available: 8690012 kB, Active: 5357392 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
